X,Y,OBJECTID,RADICADO,DIA,PERIODO,CBML,DIA_SEMANA,MES,NUM_COMUNA,NUM_GRAVEDAD,NUM_DISENO,NUM_CLASE,group
-75.55287557168867,6.2408957758344785,555540.0,1615489.0,6.0,2018.0,906.0,2.0,2.0,9.0,3.0,1.0,6.0,1
-75.56396903530052,6.296093593105131,685176.0,1652564.0,8.0,2018.0,508.0,6.0,12.0,5.0,1.0,2.0,1.0,0
-75.57746809547638,6.257898176625973,553303.0,1621777.0,29.0,2018.0,1101.0,4.0,3.0,11.0,1.0,1.0,4.0,1
-75.63498369883865,6.2752623150046025,553003.0,1616800.0,15.0,2018.0,6001.0,4.0,2.0,21.0,1.0,1.0,1.0,1
-75.56234932772591,6.253409816982473,553007.0,1616824.0,15.0,2018.0,1018.0,4.0,2.0,10.0,2.0,1.0,1.0,1
-75.56771839059763,6.184694369687643,665169.0,1630869.0,13.0,2018.0,1412.0,3.0,6.0,14.0,1.0,2.0,1.0,0
-75.55869142747498,6.249283715689574,665743.0,1638085.0,13.0,2018.0,1016.0,1.0,8.0,10.0,1.0,1.0,6.0,0
-75.56984320872536,6.244361101847242,559570.0,1627647.0,17.0,2018.0,1013.0,4.0,5.0,10.0,2.0,1.0,1.0,1
-75.56686208697006,6.246221379171063,662334.0,1631322.0,17.0,2018.0,1013.0,7.0,6.0,10.0,1.0,1.0,1.0,0
-75.5726456384063,6.250416827673815,684356.0,1653569.0,13.0,2018.0,1006.0,4.0,12.0,10.0,1.0,2.0,1.0,0
-75.56389891015206,6.254659486483562,555172.0,1615797.0,8.0,2018.0,1018.0,4.0,2.0,10.0,3.0,1.0,6.0,1
-75.55811133404666,6.311980370343995,565410.0,1623967.0,16.0,2018.0,501.0,1.0,4.0,5.0,1.0,1.0,1.0,1
-75.5992090693458,6.231290290172006,566832.0,1612803.0,14.0,2018.0,1603.0,7.0,1.0,16.0,2.0,1.0,1.0,1
-75.58031131015478,6.1948117046760425,563435.0,1624576.0,21.0,2018.0,1423.0,6.0,4.0,14.0,1.0,2.0,1.0,1
-75.55500877746273,6.238346407219321,669944.0,1634508.0,12.0,2018.0,907.0,4.0,7.0,9.0,1.0,2.0,1.0,0
-75.56005034955686,6.242234512933076,665196.0,1630085.0,6.0,2018.0,1015.0,3.0,6.0,10.0,1.0,1.0,1.0,0
-75.58467870281186,6.204574906131379,559099.0,1620463.0,15.0,2018.0,1509.0,4.0,3.0,15.0,1.0,2.0,1.0,1
-75.59675957782764,6.222300780098013,559198.0,1626411.0,7.0,2018.0,1605.0,1.0,5.0,16.0,1.0,1.0,1.0,1
-75.57357077395831,6.245880937678415,678394.0,1650115.0,16.0,2018.0,1007.0,5.0,11.0,10.0,2.0,2.0,1.0,0
-75.5675920450755,6.243578575007873,565240.0,1625954.0,4.0,2018.0,1013.0,5.0,5.0,10.0,2.0,1.0,1.0,1
-75.57300943899091,6.2495293191482775,565350.0,1626106.0,4.0,2018.0,1007.0,5.0,5.0,10.0,1.0,1.0,2.0,1
-75.57317874948208,6.238461248514769,558749.0,1620802.0,14.0,2018.0,1011.0,3.0,3.0,10.0,1.0,2.0,1.0,1
-75.57169037155467,6.2034527685837935,549598.0,1611916.0,2.0,2018.0,1416.0,2.0,1.0,14.0,2.0,1.0,1.0,1
-75.55250783198832,6.242910255519158,662104.0,1633415.0,4.0,2018.0,809.0,3.0,7.0,8.0,2.0,1.0,1.0,0
-75.58687705827894,6.266044779413992,549583.0,1611852.0,2.0,2018.0,703.0,2.0,1.0,7.0,2.0,2.0,1.0,1
-75.5823254861457,6.213843099359251,666799.0,1638486.0,15.0,2018.0,1507.0,3.0,8.0,15.0,1.0,2.0,1.0,0
-75.5687074056671,6.22987664925448,553667.0,1622762.0,5.0,2018.0,1020.0,4.0,4.0,10.0,1.0,2.0,1.0,1
-75.57003159801148,6.237635441545043,665147.0,1631084.0,13.0,2018.0,1020.0,3.0,6.0,10.0,4.0,2.0,1.0,0
-75.60145622491429,6.2107624837555715,561594.0,1617877.0,25.0,2018.0,1610.0,7.0,2.0,16.0,4.0,1.0,1.0,1
-75.58031131015478,6.1948117046760425,670213.0,1635243.0,18.0,2018.0,1423.0,3.0,7.0,14.0,2.0,2.0,1.0,0
-75.5757010483317,6.2364419232192585,563791.0,1623307.0,11.0,2018.0,1012.0,3.0,4.0,10.0,1.0,2.0,1.0,1
-75.55128954589068,6.295931051890055,565198.0,1623266.0,10.0,2018.0,207.0,2.0,4.0,2.0,3.0,1.0,4.0,1
-75.56662357761145,6.299679313113158,671550.0,1644509.0,3.0,2018.0,509.0,3.0,10.0,5.0,3.0,1.0,4.0,0
-75.55169652211619,6.28029267442813,679633.0,1645955.0,15.0,2018.0,302.0,1.0,10.0,3.0,2.0,1.0,1.0,0
-75.59033828078942,6.281987946745652,667501.0,1638671.0,16.0,2018.0,714.0,4.0,8.0,7.0,2.0,1.0,2.0,0
-75.55402234815733,6.2727932950041785,550772.0,1613143.0,16.0,2018.0,303.0,2.0,1.0,3.0,2.0,1.0,1.0,1
-75.59334398551519,6.271413967763777,680044.0,1646521.0,20.0,2018.0,703.0,6.0,10.0,7.0,3.0,1.0,4.0,0
-75.58000139842002,6.192517242071217,565289.0,1623204.0,10.0,2018.0,1423.0,2.0,4.0,14.0,1.0,2.0,1.0,1
-75.59019170268509,6.2494446985641625,558513.0,1622014.0,31.0,2018.0,1117.0,6.0,3.0,11.0,1.0,2.0,1.0,1
-75.55232560719367,6.292183169443665,673436.0,1643738.0,26.0,2018.0,209.0,3.0,9.0,2.0,1.0,1.0,6.0,0
-75.55822876522798,6.228831180996315,555987.0,1617469.0,21.0,2018.0,913.0,3.0,2.0,9.0,1.0,2.0,1.0,1
-75.57061625555437,6.276081123875643,686379.0,1652253.0,5.0,2018.0,516.0,3.0,12.0,5.0,3.0,2.0,1.0,0
-75.56632027167707,6.302052618506804,564355.0,1624627.0,22.0,2018.0,505.0,7.0,4.0,5.0,2.0,2.0,1.0,1
-75.55306792405862,6.2563776774046,566391.0,1628996.0,28.0,2018.0,801.0,1.0,5.0,8.0,1.0,2.0,1.0,1
-75.56761200309063,6.294318128741982,661802.0,1631275.0,16.0,2018.0,510.0,6.0,6.0,5.0,2.0,1.0,1.0,0
-75.58368683744278,6.298833064268153,558181.0,1617381.0,20.0,2018.0,608.0,2.0,2.0,6.0,1.0,1.0,1.0,1
-75.58990829601518,6.236142653229343,565370.0,1625367.0,27.0,2018.0,1602.0,5.0,4.0,16.0,2.0,1.0,1.0,1
-75.55427625669,6.293526174252003,669370.0,1634171.0,11.0,2018.0,207.0,3.0,7.0,2.0,1.0,2.0,1.0,0
-75.58637019258968,6.210025701640757,681226.0,1648317.0,30.0,2018.0,1507.0,2.0,10.0,15.0,1.0,2.0,1.0,0
-75.59627129342326,6.231389195026603,555977.0,1617273.0,20.0,2018.0,1603.0,2.0,2.0,16.0,1.0,2.0,1.0,1
