;Longitude;Latitude;
75°35'53.939W,6°15'22.640N;-75.5983164;6.2562889;
75°36'1.919W,6°15'35.306N;-75.6005331;6.2598072;
75°36'1.687W,6°15'33.271N;-75.6004686;6.2592419;
75°37'8.241W,6°16'36.226N;-75.6189558;6.2767294;
75°34'30.638W,6°15'36.354N;-75.5751772;6.2600983;
75°34'28.552W,6°15'55.243N;-75.5745978;6.2653453;
75°34'27.741W,6°15'57.547N;-75.5743725;6.2659853;
75°34'29.904W,6°15'56.472N;-75.5749733;6.2656867;
75°34'30.445W,6°15'58.545N;-75.5751236;6.2662625;
75°34'31.769W,6°15'56.357N;-75.5754914;6.2656547;
75°34'35.273W,6°15'59.812N;-75.5764647;6.2666144;
75°35'13.759W,6°15'56.177N;-75.5871553;6.2656047;
75°35'13.334W,6°16'3.049N;-75.5870372;6.2675136;
75°34'39.733W,6°16'14.839N;-75.5777036;6.2707886;
75°34'47.810W,6°16'24.736N;-75.5799472;6.2735378;
75°34'51.286W,6°16'25.101N;-75.5809128;6.2736392;
75°34'54.820W,6°16'25.120N;-75.5818944;6.2736444;
75°34'57.505W,6°16'25.024N;-75.5826403;6.2736178;
75°34'52.947W,6°16'37.797N;-75.5813742;6.2771658;
75°34'49.057W,6°16'42.673N;-75.5802936;6.2785203;
75°35'26.546W,6°16'20.421N;-75.5907072;6.2723392;
75°35'24.422W,6°16'33.993N;-75.5901172;6.2761092;
75°35'46.881W,6°16'33.148N;-75.5963558;6.2758744;
75°35'30.312W,6°16'25.796N;-75.5917533;6.2738322;
75°35'31.567W,6°16'22.610N;-75.5921019;6.2729472;
75°35'34.947W,6°16'23.857N;-75.5930408;6.2732936;
75°35'38.616W,6°16'24.779N;-75.59406;6.2735497;
75°36''4.106W,6°16'43.403N;-75.6011406;6.2787231;
75°35'46.879W,6°16'33.114N;-75.5963553;6.275865;
75°35'35.659W,6°16'42.251N;-75.5932386;6.2784031;
75°35'24.386W,6°16'34.234N;-75.5901072;6.2761761;
75°35'22.339W,6°16'39.071N;-75.5895386;6.2775197;
75°35'14.228W,6°16'47.501N;-75.5872856;6.2798614;
75°35'10.626W,6°16'53.536N;-75.586285;6.2815378;
75°35'7.923W,6°16'55.762N;-75.5855342;6.2821561;
75°35'2.901W,6°17'3.901N;-75.5841392;6.2844169;
75°35'40.835W,6°12'37.240N;-75.5946764;6.2103444;
75°35'41.762W,6°12'39.006N;-75.5949339;6.210835;
